sap
yoke
gobdaw
biddy
quarehawk
chancer
gobshite
loolah
tulip
hussy
langer
clown
tool
minger
dry shite
wagon
lachico
pox
eejit
dose
amadan
gombeen
gouger
cute hoor
rasher
messer
head-the-ball
muppet
knob
culchie
liudraman
bucko
shitehawk
space cadet
yahoo
weapon
scobie
holy joe
maggot
bowsie
gurrier
sleeveen
puca
bollix
spanner
plank
skanger
ballbag
whinger
headwrecker
